gene_id	WT_VLCO2_1	WT_VLCO2_0	WT_LoCO2_0	WT_LoCO2_1	WT_HiCO2_0	WT_HiCO2_1	cia5_VLCO2_0	cia5_VLCO2_1	cia5_LoCO2_0	cia5_LoCO2_1	cia5_HiCO2_0	cia5_HiCO2_1
Cre01.g050000	14.7167	21.0412	34.4862	27.8458	38.2859	28.9815	17.9588	16.3331	24.2051	20.0372	19.7829	25.6551
Cre01.g050050	7.0971	6.92183	6.1567	8.29981	12.4537	12.6703	11.7982	10.4838	16.279	14.2338	18.1956	19.6008
Cre01.g050100	86.654	182.253	183.04	127.155	123.255	107.064	224.978	231.796	206.921	232.051	215.065	202.98
Cre01.g050150	2.03415	4.85265	4.48757	3.55201	4.22569	2.82188	4.52572	3.07134	4.26683	3.0377	3.69924	3.95549
Cre01.g050200	0	0.0469767	0.106359	0	0	0	0.144665	0.0681032	0	0.0397728	0	0
Cre01.g050300	1.21379	3.78216	3.45819	3.27672	2.33173	1.84573	1.34273	0.738619	1.23015	0.862719	0.829422	1.09024
Cre01.g050316	2.33189	2.92398	2.76424	1.50761	1.69591	1.56719	0.629417	0.777706	0.932572	0.899753	0.582206	0.803368
Cre01.g050350	2.61157	3.02921	2.15322	2.27954	2.86334	1.88575	3.36293	2.91041	3.09341	3.10121	3.01019	3.09547
Cre01.g050400	9.53208	14.8741	13.064	9.45333	14.7397	16.6121	12.4773	9.25761	14.7051	11.8118	15.0021	18.5217
Cre01.g050451	2.39805	3.35948	3.28708	3.02991	3.3052	2.80388	2.44406	2.55698	2.2868	2.35784	1.81118	2.15337
Cre01.g050500	9.69281	5.25577	4.0052	9.07628	8.18974	8.32938	7.71242	9.42063	8.57304	10.526	9.61548	8.82076
Cre01.g050550	276.703	139.788	154.862	261.172	143.333	277.019	146.943	124.885	134.191	134.377	149.412	180.362
Cre01.g050600	7.0251	7.95441	9.40793	6.9845	8.1105	8.8693	4.75318	3.81501	6.36454	5.4946	6.53875	7.54912
Cre01.g050608	1.347	1.86608	1.6971	1.99482	2.60471	2.31228	1.23792	2.49961	1.19824	2.32502	2.61778	1.34852
Cre01.g050616	0.487207	0.674685	0	0.610398	0.14051	0	0.425544	0	0.82146	0.74719	0.25684	0.00106317
